eventId,eventName,eventStartDate,eventEndDate,drawName,resultDate,round,roundCode,matchId,winner1_id,winner1_name,winner1_utr,winner1_nationality,winner2_id,winner2_name,winner2_utr,winner2_nationality,loser1_id,loser1_name,loser1_utr,loser1_nationality,loser2_id,loser2_name,loser2_utr,loser2_nationality,opponent_utr,is_doubles,winnerSets,loserSets,tiebreakSets,sourceType,outcome,score_details,isWinner,win_margin,is_notable
2181602,Dual Match: Southwestern University vs Case Western Reserve University,2024-03-15 00:00:00,2024-03-15 00:00:00,#2 Doubles,2024-03-15 00:00:00,,,44246265,4030701,Anmay Devaraj,11.24,USA,98324,Sahil Dayal,9.85,USA,111266,Travis Rafferty,10.14,USA,251580,Bernardo Clemente,9.66,USA,9.9,True,"[6, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0]","[None, 0, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 6, 'loser': 2, 'tiebreak': None, 'winnerTiebreak': None}}",True,4,False
2181158,Dual Match: Case Western Reserve University vs Chapman University,2024-03-13 00:00:00,2024-03-13 00:00:00,#2 Doubles,2024-03-13 00:00:00,,,44236839,4030701,Anmay Devaraj,11.24,USA,98324,Sahil Dayal,9.85,USA,2657870,Mac Caldwell,10.2,USA,3920387,ANDY HESS,9.68,USA,9.94,True,"[8, 0, 0, 0, 0, 0]","[7, 0, 0, 0, 0, 0]","[7, 0, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 8, 'loser': 7, 'tiebreak': 1, 'winnerTiebreak': 7}}",True,1,False
2174918,Dual Match: Hardin-Simmons University vs Case Western Reserve University,2024-03-11 00:00:00,2024-03-11 00:00:00,#3 Doubles,2024-03-11 00:00:00,,,44184407,4030701,Anmay Devaraj,11.24,USA,4212417,George Kosseifi,11.45,USA,254644,Brandon Curiel,8.71,USA,1907705,Jordan Oberbillig,7.93,USA,8.32,True,"[8, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0]","[None, 0, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 8, 'loser': 4, 'tiebreak': None, 'winnerTiebreak': None}}",True,4,False
2174918,Dual Match: Hardin-Simmons University vs Case Western Reserve University,2024-03-11 00:00:00,2024-03-11 00:00:00,#3 Singles,2024-03-11 00:00:00,,,44184413,4030701,Anmay Devaraj,11.24,USA,,,,,1190997,Zachary Fowler,9.5,USA,,,,,9.5,True,"[6, 6, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[None, None, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 6, 'loser': 1, 'tiebreak': None, 'winnerTiebreak': None}, '2': {'winner': 6, 'loser': 0, 'tiebreak': None, 'winnerTiebreak': None}}",True,11,True
2174919,Dual Match: Sewanee: The University of the South vs Case Western Reserve University,2024-03-11 00:00:00,2024-03-11 00:00:00,#2 Doubles,2024-03-11 00:00:00,,,44184416,98324,Sahil Dayal,9.85,USA,4030701,Anmay Devaraj,11.24,USA,4549328,Peyton Erck,11.24,USA,263680,Andre-Remi Jakobi,10.16,EST,10.7,True,"[8, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0]","[None, 0, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 8, 'loser': 4, 'tiebreak': None, 'winnerTiebreak': None}}",True,4,False
2174218,Dual Match: Bakersfield College vs Case Western Reserve University,2024-03-10 00:00:00,2024-03-10 00:00:00,#1 Doubles,2024-03-10 00:00:00,,,44164194,4030701,Anmay Devaraj,11.24,USA,4212417,George Kosseifi,11.45,USA,4580754,Sebastian Junghanns,10.25,PAR,4248660,Filip Novácek,9.16,CZE,9.705,True,"[8, 0, 0, 0, 0, 0]","[5, 0, 0, 0, 0, 0]","[None, 0, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 8, 'loser': 5, 'tiebreak': None, 'winnerTiebreak': None}}",True,3,False
2156337,Dual Match: Claremont McKenna College vs Case Western Reserve University,2024-02-25 00:00:00,2024-02-25 00:00:00,#1 Doubles,2024-02-25 00:00:00,,,43896613,4030701,Anmay Devaraj,11.24,USA,98324,Sahil Dayal,9.85,USA,4118721,Matthew Robinson,11.73,USA,100938,Ian Freer,11.47,USA,11.600000000000001,True,"[6, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0]","[None, 0, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 6, 'loser': 4, 'tiebreak': None, 'winnerTiebreak': None}}",True,2,False
2149914,Dual Match: University of Chicago vs Case Western Reserve University,2024-02-23 00:00:00,2024-02-23 00:00:00,#1 Doubles,2024-02-23 00:00:00,,,43855536,4030701,Anmay Devaraj,11.24,USA,98324,Sahil Dayal,9.85,USA,130232,Derek Hsieh,11.87,USA,3742796,Robert Zhang,8.21,USA,10.04,True,"[6, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[None, 0, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 6, 'loser': 0, 'tiebreak': None, 'winnerTiebreak': None}}",True,6,False
2149914,Dual Match: University of Chicago vs Case Western Reserve University,2024-02-23 00:00:00,2024-02-23 00:00:00,#6 Singles,2024-02-23 00:00:00,,,43855543,4030701,Anmay Devaraj,11.24,USA,,,,,2459589,Matthew Liew,10.95,USA,,,,,10.95,True,"[6, 6, 0, 0, 0, 0]","[3, 3, 0, 0, 0, 0]","[None, None, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 6, 'loser': 3, 'tiebreak': None, 'winnerTiebreak': None}, '2': {'winner': 6, 'loser': 3, 'tiebreak': None, 'winnerTiebreak': None}}",True,6,False
2144658,Dual Match: Illinois Institute of Technology vs Case Western Reserve University,2024-02-17 00:00:00,2024-02-17 00:00:00,#1 Doubles,2024-02-17 00:00:00,,,43727380,98324,Sahil Dayal,9.85,USA,4030701,Anmay Devaraj,11.24,USA,3838243,Andre Torres,9.34,USA,3968649,Avneet Singh,7.46,BRN,8.4,True,"[8, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0]","[None, 0, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 8, 'loser': 2, 'tiebreak': None, 'winnerTiebreak': None}}",True,6,False
2144659,Dual Match: Case Western Reserve University vs Oberlin College,2024-02-17 00:00:00,2024-02-17 00:00:00,#1 Doubles,2024-02-17 00:00:00,,,43727386,4030701,Anmay Devaraj,11.24,USA,98324,Sahil Dayal,9.85,USA,3288822,Sebastien Naginski,9.31,USA,216647,Shawn Lisann,9.71,USA,9.510000000000002,True,"[8, 0, 0, 0, 0, 0]","[6, 0, 0, 0, 0, 0]","[None, 0, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 8, 'loser': 6, 'tiebreak': None, 'winnerTiebreak': None}}",True,2,False
2134735,Dual Match: Allegheny College vs Case Western Reserve University,2024-02-09 00:00:00,2024-02-09 00:00:00,#1 Singles,2024-02-09 00:00:00,,,43610794,4030701,Anmay Devaraj,11.24,USA,,,,,294936,Anton Hedlund,10.46,SWE,,,,,10.46,True,"[7, 6, 0, 0, 0, 0]","[6, 2, 0, 0, 0, 0]","[None, None, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 7, 'loser': 6, 'tiebreak': None, 'winnerTiebreak': None}, '2': {'winner': 6, 'loser': 2, 'tiebreak': None, 'winnerTiebreak': None}}",True,5,False
2134735,Dual Match: Allegheny College vs Case Western Reserve University,2024-02-09 00:00:00,2024-02-09 00:00:00,#2 Doubles,2024-02-09 00:00:00,,,43610799,4030701,Anmay Devaraj,11.24,USA,68226,Diego Maza,11.46,USA,294936,Anton Hedlund,10.46,SWE,2618577,Evan Nelson,6.73,USA,8.595,True,"[8, 0, 0, 0, 0, 0]","[5, 0, 0, 0, 0, 0]","[None, 0, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 8, 'loser': 5, 'tiebreak': None, 'winnerTiebreak': None}}",True,3,False
2134736,Dual Match: Holy Cross College vs Case Western Reserve University,2024-02-09 00:00:00,2024-02-09 00:00:00,#1 Doubles,2024-02-09 00:00:00,,,43610808,4030701,Anmay Devaraj,11.24,USA,98324,Sahil Dayal,9.85,USA,3075224,Perry Gregg,12.79,USA,4581010,Laurenz Flender,10.35,GER,11.57,True,"[7, 0, 0, 0, 0, 0]","[6, 0, 0, 0, 0, 0]","[7, 0, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 7, 'loser': 6, 'tiebreak': 2, 'winnerTiebreak': 7}}",True,1,False
2082067,2023 ITA Division III Men's Central Regional Championships,2023-09-29 00:00:00,2023-10-01 00:00:00,,2023-10-01 00:00:00,,,41992425,4030701,Anmay Devaraj,11.24,USA,,,,,3197965,Owen Reynolds,8.73,USA,,,,,8.73,True,"[6, 6, 0, 0, 0, 0]","[0, 2, 0, 0, 0, 0]","[None, None, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 6, 'loser': 0, 'tiebreak': None, 'winnerTiebreak': None}, '2': {'winner': 6, 'loser': 2, 'tiebreak': None, 'winnerTiebreak': None}}",True,10,True
2082067,2023 ITA Division III Men's Central Regional Championships,2023-09-29 00:00:00,2023-10-01 00:00:00,,2023-10-01 00:00:00,,,41992536,4030701,Anmay Devaraj,11.24,USA,98324,Sahil Dayal,9.85,USA,3197965,Owen Reynolds,8.73,USA,178578,Rhian Seneviratne,8.82,USA,8.775,True,"[8, 0, 0, 0, 0, 0]","[5, 0, 0, 0, 0, 0]","[None, 0, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 8, 'loser': 5, 'tiebreak': None, 'winnerTiebreak': None}}",True,3,False
2082067,2023 ITA Division III Men's Central Regional Championships,2023-09-29 00:00:00,2023-10-01 00:00:00,,2023-10-01 00:00:00,,,41992546,4030701,Anmay Devaraj,11.24,USA,98324,Sahil Dayal,9.85,USA,4425246,Jack Wong,11.12,USA,3742796,Robert Zhang,8.21,USA,9.665,True,"[8, 0, 0, 0, 0, 0]","[6, 0, 0, 0, 0, 0]","[None, 0, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 8, 'loser': 6, 'tiebreak': None, 'winnerTiebreak': None}}",True,2,False
2082067,2023 ITA Division III Men's Central Regional Championships,2023-09-29 00:00:00,2023-10-01 00:00:00,,2023-10-01 00:00:00,,,41992552,4030701,Anmay Devaraj,11.24,USA,98324,Sahil Dayal,9.85,USA,4198515,Alejandro Gonzalez,11.13,MEX,3884914,Eric Jingqi Zhang,10.17,USA,10.65,True,"[8, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0]","[None, 0, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 8, 'loser': 3, 'tiebreak': None, 'winnerTiebreak': None}}",True,5,False
2071201,Toledo Everybody vs Cancer Invite,2023-09-22 00:00:00,2023-09-24 00:00:00,,2023-09-24 00:00:00,,,41646745,862626,Casey Hishinuma,11.13,USA,4030701,Anmay Devaraj,11.24,USA,85499,Arjun Asokumar,11.65,USA,125344,John Walentowicz,10.57,USA,11.11,True,"[6, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0]","[None, 0, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 6, 'loser': 3, 'tiebreak': None, 'winnerTiebreak': None}}",True,3,False
2071201,Toledo Everybody vs Cancer Invite,2023-09-22 00:00:00,2023-09-24 00:00:00,,2023-09-24 00:00:00,,,41647058,4030701,Anmay Devaraj,11.24,USA,862626,Casey Hishinuma,11.13,USA,4164599,joe settle,,,1961027,Emil Chr E Stegmann Mikkelsen,10.53,DEN,,True,"[6, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0]","[None, 0, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 6, 'loser': 4, 'tiebreak': None, 'winnerTiebreak': None}}",True,2,False
